RISULTATI DELLE PARTITE DEL TUTTE;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;3';GOAL;FC Pontos;Martino Gonzalez;
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;3';ASSIST;FC Pontos;Mattia Fazio;
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;12';GOAL;FC Pontos;Matteo Decorato;
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;20';CARTA;FC Pontos;Matteo Decorato;shootout::success
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;21';CARTA;FC Murta;Luca Dianti;shootout::fail
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;27';GOAL;FC Pontos;Mattia Fazio;
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;28';GOAL;FC Pontos;Matteo Decorato;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;1';GOAL;Gli Umili;Lorenzo Papiri;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;5';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;6';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;12';CARTA;FC Ceres;Samuele Del Fiore;shootout::fail
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;17';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;19';GOAL;FC Ceres;Samuele Del Fiore;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;24';GOAL;Gli Umili;Elio Casanova;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;26';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;27';CARTA;Gli Umili;Simone Valle;penalty::success
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;30';GOAL;FC Ceres;Marco Gagna;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;6';GOAL;UCG;Andrea Ortisi;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;7';GOAL;UCG;Andrea Ortisi;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;7';GOAL;UCG;Reverberi Tommaso;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;9';GOAL;UCG;Bevegni Francesco;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;10';GOAL;Gilly Boys;Simone Cavicchioli;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;14';GOAL;Gilly Boys;Fabrizio Schiano;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;17';GOAL;Gilly Boys;Jacopo Vicini;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;19';GOAL;Gilly Boys;Edoardo Banchieri;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;26';GOAL;Gilly Boys;Dario Riva;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;29';GOAL;Gilly Boys;Simone Cavicchioli;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;30';GOAL;Gilly Boys;Dario Riva;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;4';GOAL;Taverna FC;Davide Barabino;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;8';GOAL;Aston Birra;Endi Pasho;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;11';GOAL;Aston Birra;Diego Traverso;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;14';GOAL;Aston Birra;Diego Traverso;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;15';GOAL;Taverna FC;Alessandro Mosca;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;20';CARTA;Taverna FC;Davide Pasti;starplayer
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;24';GOAL;Aston Birra;Ivan Moretti;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;28';GOAL;Aston Birra;Giacomo Patrone;
5c06696f-e7ae-4a8e-93d3-c594383c6508;Taverna FC - Aston Birra;30';GOAL;Aston Birra;Giacomo Patrone;
8be74c6f-ac94-41b9-a119-7bd7c7d84bda;PonteX Pirates - Lo Dico FC;3';GOAL;Lo Dico FC;Christian Ravenna;
8be74c6f-ac94-41b9-a119-7bd7c7d84bda;PonteX Pirates - Lo Dico FC;8';GOAL;PonteX Pirates;Lorenzo Frondana;
8be74c6f-ac94-41b9-a119-7bd7c7d84bda;PonteX Pirates - Lo Dico FC;24';CARTA;PonteX Pirates;;goalx2
8be74c6f-ac94-41b9-a119-7bd7c7d84bda;PonteX Pirates - Lo Dico FC;25';CARTA;Lo Dico FC;Alphonse Diaye;suspension
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;1';GOAL;Gilly Boys;Simone Cavicchioli;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;3';GOAL;San Teodoro Ketzmaja;Andrea Balossino;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;3';GOAL;Gilly Boys;Edoardo Banchieri;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;4';GOAL;San Teodoro Ketzmaja;Davide Tamagnini;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;7';GOAL;Gilly Boys;Dario Riva;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;18';GOAL;Gilly Boys;Jacopo Vicini;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;19';GOAL;San Teodoro Ketzmaja;Andrea Balossino;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;26';GOAL;Gilly Boys;Dario Riva;
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;30';CARTA;Gilly Boys;Jacopo Vicini;goalx2
217cf064-587f-437a-8d62-a331316dd0a5;Gilly Boys - San Teodoro Ketzmaja;30';GOAL;Gilly Boys;;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;5';GOAL;Taverna FC;Stefano Bottari;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;11';GOAL;Taverna FC;Davide Barabino;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;12';GOAL;Taverna FC;Davide Pasti;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;13';GOAL;Chainz;Francesco Fossati;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;18';GOAL;Taverna FC;Stefano Bottari;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;21';GOAL;Taverna FC;Alessandro Mosca;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;21';CARTA;Chainz;Francesco Tassone;shootout::success
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;22';GOAL;Taverna FC;Alessandro Mosca;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;26';CARTA;Chainz;Louis Dolcini;suspension
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;29';GOAL;Taverna FC;Davide Pasti;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;8';GOAL;UCG;Andrea Ortisi;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;9';GOAL;Aston Birra;Endi Pasho;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;10';GOAL;Aston Birra;Giacomo Patrone;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;11';GOAL;UCG;Bevegni Francesco;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;15';GOAL;PonteX Pirates;Edoardo Demasi;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;23';GOAL;San Teodoro Ketzmaja;Davide Tamagnini;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;26';GOAL;San Teodoro Ketzmaja;Andrea Gobbi;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;7';GOAL;Chainz;Francesco Tassone;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;7';ASSIST;Chainz;Louis Dolcini;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;13';GOAL;Chainz;Louis Dolcini;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;22';GOAL;Lo Dico FC;Mattia Lamari;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;24';GOAL;Chainz;Alessio Carena;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;24';GOAL;Lo Dico FC;Christian Ravenna;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;25';CARTA;Lo Dico FC;Mohamed Niang;suspension
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;25';CARTA;Chainz;Louis Dolcini;suspension
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;26';GOAL;Lo Dico FC;Christian Ravenna;
